id,name,open,labeled,commented,closed
MDU6SXNzdWU4OTg2NTI3NA==,https://github.com/cucumber/cucumber/issues/1,2015-06-21T04:55:56Z,,2015-06-22T15:24:30Z,2016-08-05T15:32:35Z
MDU6SXNzdWU5MDMyMDU5OA==,https://github.com/cucumber/cucumber/issues/2,2015-06-23T08:15:21Z,2017-03-16T22:44:43Z,2017-07-10T14:37:44Z,2017-07-10T21:05:35Z
MDU6SXNzdWU5ODM1NzQzNg==,https://github.com/cucumber/cucumber/issues/3,2015-07-31T09:59:04Z,,2015-08-13T12:16:14Z,2015-08-13T12:16:49Z
MDU6SXNzdWUxMDQ3NTE1MDU=,https://github.com/cucumber/cucumber/issues/4,2015-09-03T18:07:06Z,2017-03-16T22:44:53Z,2017-09-09T06:43:36Z,2017-09-09T06:45:38Z
MDU6SXNzdWUxMDUxOTAwNjE=,https://github.com/cucumber/cucumber/issues/5,2015-09-07T10:22:53Z,,2015-09-07T10:25:04Z,2015-09-07T10:24:34Z
MDU6SXNzdWUxMDUxOTM5OTU=,https://github.com/cucumber/cucumber/issues/6,2015-09-07T10:49:26Z,,2017-03-16T22:45:52Z,2017-03-16T22:45:52Z
MDU6SXNzdWUxMDk2ODA4NDY=,https://github.com/cucumber/cucumber/issues/7,2015-10-04T13:19:39Z,,2015-10-04T13:27:30Z,2015-10-04T13:27:30Z
MDU6SXNzdWUxMTIxNTA4NDE=,https://github.com/cucumber/cucumber/issues/8,2015-10-19T14:02:22Z,2017-11-08T10:55:25Z,2015-10-19T14:09:49Z,2017-11-15T11:28:36Z
MDU6SXNzdWUxMTIxODkxODE=,https://github.com/cucumber/cucumber/issues/9,2015-10-19T17:02:03Z,2017-11-08T10:55:26Z,2015-10-19T19:59:53Z,2017-11-15T11:28:35Z
MDU6SXNzdWUxMTQxMjc4MDc=,https://github.com/cucumber/cucumber/issues/10,2015-10-29T19:26:31Z,,2015-10-29T20:43:23Z,2015-10-29T20:43:23Z
MDU6SXNzdWUxMTQzMjU4MzM=,https://github.com/cucumber/cucumber/issues/11,2015-10-30T18:16:03Z,,2015-10-30T18:24:35Z,2016-12-08T04:32:15Z
MDU6SXNzdWUxMTQ4ODgxOTY=,https://github.com/cucumber/cucumber/issues/12,2015-11-03T19:13:50Z,,2015-11-03T19:19:14Z,2016-12-17T22:49:43Z
MDU6SXNzdWUxMTU3MDE1MTg=,https://github.com/cucumber/cucumber/issues/13,2015-11-08T00:17:09Z,2017-11-08T10:55:21Z,2015-11-09T08:37:12Z,2017-11-08T16:46:19Z
MDU6SXNzdWUxMTc1NDMyOTg=,https://github.com/cucumber/cucumber/issues/14,2015-11-18T09:09:17Z,,2015-12-11T18:41:12Z,2015-12-11T18:41:12Z
