id,name,open,closed
MDExOlB1bGxSZXF1ZXN0MzA3Nw==,https://github.com/cucumber/cucumber-ruby/pull/10,2010-09-09T12:09:27Z,2011-11-19T21:53:13Z
MDExOlB1bGxSZXF1ZXN0Mzg4OQ==,https://github.com/cucumber/cucumber-ruby/pull/11,2010-09-11T22:29:58Z,2010-09-11T22:44:37Z
MDExOlB1bGxSZXF1ZXN0NDk3Mw==,https://github.com/cucumber/cucumber-ruby/pull/12,2010-09-15T12:37:31Z,2010-09-21T10:22:46Z
MDExOlB1bGxSZXF1ZXN0ODU2OQ==,https://github.com/cucumber/cucumber-ruby/pull/13,2010-09-25T15:04:21Z,2011-03-13T22:38:06Z
MDExOlB1bGxSZXF1ZXN0MTIwMjA=,https://github.com/cucumber/cucumber-ruby/pull/14,2010-10-05T14:46:48Z,2010-10-11T18:22:48Z
MDExOlB1bGxSZXF1ZXN0MTc2NTY=,https://github.com/cucumber/cucumber-ruby/pull/15,2010-10-19T22:42Z,2010-11-02T22:50:01Z
MDExOlB1bGxSZXF1ZXN0MTgyOTc=,https://github.com/cucumber/cucumber-ruby/pull/16,2010-10-21T10:21:28Z,2010-11-02T22:47:56Z
MDExOlB1bGxSZXF1ZXN0MjA0MzE=,https://github.com/cucumber/cucumber-ruby/pull/17,2010-10-26T19:52:32Z,2010-11-02T22:59:13Z
MDExOlB1bGxSZXF1ZXN0MzA0NTg=,https://github.com/cucumber/cucumber-ruby/pull/18,2010-11-18T03:26:05Z,2011-03-13T22:24:39Z
MDExOlB1bGxSZXF1ZXN0MzA3OTI=,https://github.com/cucumber/cucumber-ruby/pull/19,2010-11-18T19:43:57Z,2010-11-30T09:02:59Z
MDExOlB1bGxSZXF1ZXN0MzMwODk=,https://github.com/cucumber/cucumber-ruby/pull/20,2010-11-24T00:15:13Z,2010-12-01T00:01:59Z
MDExOlB1bGxSZXF1ZXN0MzM5NDI=,https://github.com/cucumber/cucumber-ruby/pull/21,2010-11-25T18:51:27Z,2010-11-30T09:16:08Z
MDExOlB1bGxSZXF1ZXN0MzU0NTc=,https://github.com/cucumber/cucumber-ruby/pull/22,2010-11-30T01:32:38Z,2010-11-30T09:02:59Z
MDExOlB1bGxSZXF1ZXN0MzU4MjA=,https://github.com/cucumber/cucumber-ruby/pull/23,2010-11-30T19:08:02Z,2010-11-30T23:43:11Z
MDExOlB1bGxSZXF1ZXN0Mzg3NTU=,https://github.com/cucumber/cucumber-ruby/pull/24,2010-12-07T00:55:43Z,2010-12-07T20:19:23Z
MDExOlB1bGxSZXF1ZXN0NDI2MTE=,https://github.com/cucumber/cucumber-ruby/pull/25,2010-12-15T06:17:19Z,2011-03-20T20:10:10Z
